FI
. 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
. 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Min-Max 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1Offer-1Accept 0 0.04333333333333334 0.0 0.055 0.03333333333333333 0.035 0.075 0.05 0.03 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1Apply-1Give 0 0.06 0.05833333333333333 0.03 0.05 0.04 0.035 0.01 0.03 0.03 0.0 0.03 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
MultipleOffer-MultipleAccept 0 0.0011111111111111111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Bidding 0 0.0795912087912088 0.16605128205128206 0.13878968253968255 0.1835238095238095 0.3263333333333334 0.2275277777777778 0.26999999999999996 0.3264444444444445 0.2 0.06 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
RichDonateToPoor 0 0.7669380619380619 0.3739523809523809 0.37 0.23833333333333337 0.295 0.13 0.05 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
PoorRobFromRich 0 0.23541328116328117 0.40609523809523806 0.47602380952380957 0.40833333333333327 0.13 0.05 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Centralized-Algorithm 0 0.01844444444444445 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Worst 0 2.405442918192918 0.47750892625892616 0.5818363062058715 0.2805920673836633 0.5697422891118543 0.35466621149352173 0.3014614624505929 0.4357681034534581 0.29231688538103767 0.20449648660518227 0.49557723876259346 0.16566666666666666 0.4574002187143711 0.153 0.0 0.6247396878483834 0.4124164334937438 0.37652044370579846 0.46716222269793706 





total overshoot
. 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Min-Max 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1Offer-1Accept 0 0.04333333333333334 0.04333333333333334 0.09833333333333334 0.13166666666666668 0.16666666666666669 0.24166666666666667 0.2916666666666667 0.3216666666666667 0.34166666666666673 0.34166666666666673 0.34166666666666673 0.34166666666666673 0.34166666666666673 0.34166666666666673 0.34166666666666673 0.34166666666666673 0.34166666666666673 0.34166666666666673 0.34166666666666673 
1Apply-1Give 0 0.06 0.11833333333333332 0.14833333333333332 0.19833333333333333 0.2383333333333333 0.2733333333333333 0.2833333333333333 0.3133333333333333 0.34333333333333327 0.34333333333333327 0.3733333333333333 0.3833333333333333 0.3833333333333333 0.3833333333333333 0.3833333333333333 0.3833333333333333 0.3833333333333333 0.3833333333333333 0.3833333333333333 
MultipleOffer-MultipleAccept 0 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 0.0011111111111111111 
Bidding 0 0.0795912087912088 0.24564249084249087 0.38443217338217345 0.5679559829059829 0.8942893162393163 1.1218170940170942 1.3918170940170942 1.7182615384615385 1.9182615384615387 1.9782615384615385 1.9982615384615385 1.9982615384615385 1.9982615384615385 1.9982615384615385 1.9982615384615385 1.9982615384615385 1.9982615384615385 1.9982615384615385 1.9982615384615385 
RichDonateToPoor 0 0.7669380619380619 1.140890442890443 1.510890442890443 1.7492237762237763 2.0442237762237765 2.1742237762237764 2.224223776223776 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 2.2542237762237765 
PoorRobFromRich 0 0.23541328116328117 0.6415085192585193 1.1175323287823289 1.525865662115662 1.655865662115662 1.705865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 1.725865662115662 
Centralized-Algorithm 0 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 0.01844444444444445 
Worst 0 2.405442918192918 2.8829518444518443 3.464788150657716 3.7453802180413795 4.315122507153234 4.669788718646756 4.971250181097349 5.407018284550807 5.699335169931844 5.903831656537027 6.39940889529962 6.565075561966288 7.022475780680659 7.175475780680658 7.175475780680658 7.800215468529042 8.212631902022785 8.589152345728584 9.05631456842652 





