April3Geni.txt
connections
n 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
geniConnection 0.008775 0.0178 0.026825 0.0361 0.0454 0.054775 0.064225 0.0737 0.0832 0.0927 0.102225 0.11175 0.1213 0.130875 0.1405 0.150125 0.1598 0.1695 0.179225 0.189 0.198775 0.20855 0.21835 0.228175 0.238 0.247825 0.25765 0.267475 0.277325 0.287175 0.297025 0.3069 0.316775 0.326675 0.336575 0.3465 0.356425 0.36635 0.3763 0.386275 0.39625 0.406225 0.4162 0.426175 0.436175 0.446175 0.456175 0.466175 0.476175 0.4862 0.496225 0.50625 0.5163 0.52635 0.5364 0.54645 0.5565 0.566575 0.576675 0.586775 0.596875 0.606975 0.617075 0.627175 0.637275 0.647375 0.657475 0.6676 0.67775 0.6879 0.698075 0.70825 0.718425 0.7286 0.738775 0.749 0.75925 0.769525 0.7798 0.7901 0.8004 0.810725 0.82105 0.8314 0.84175 0.8521 0.86245 0.872825 0.883225 0.893625 0.9041 0.9146 0.9251 0.935625 0.946225 0.9569 0.9676 0.978375 0.989175 1.0 
April3Reg.txt
connections
n 0.0-43.3 43.3-86.6 86.6-129.89999999999998 129.89999999999998-173.2 173.2-216.5 216.5-259.8 259.8-303.1 303.1-346.40000000000003 346.40000000000003-389.70000000000005 389.70000000000005-433.00000000000006 
pdf 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.19000000000000003 0.8100000000000003 
cdf 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.19000000000000003 1.0000000000000002 



    0	    0
    1	    0
    2	    1
    3	    1
    4	    0
    5	    0
    6	    2
    7	    3
    8	    3
    9	    1
   10	    5
   11	    7
   12	    7
   13	   10
   14	    4
   15	   13
   16	   15
   17	    9
   18	   12
   19	   13
   20	   17
   21	   13
   22	   11
   23	   13
   24	   24
   25	   16
   26	   15
   27	   26
   28	   19
   29	   21
   30	   19
   31	   26
   32	   20
   33	   15
   34	   18
   35	   21
   36	   25
   37	   14
   38	   23
   39	   14
   40	   23
   41	   20
   42	   22
   43	   23
   44	   23
   45	   26
   46	   16
   47	   23
   48	   30
   49	   17
   50	   21
   51	   21
   52	   22
   53	   19
   54	   23
   55	   18
   56	   14
   57	   16
   58	   20
   59	   14
   60	   16
   61	   11
   62	    9
   63	   16
   64	   12
   65	    8
   66	    8
   67	    5
   68	    6
   69	    7
   70	    5
   71	    5
   72	    3
   73	    0
   74	    0
   75	    1
   76	    1
