April3Geni.txt
connections
n 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
geniConnection 0.0014095196790632116 0.004065922151143879 0.0075355090534533235 0.011005095955762767 0.014528895153420795 0.018215331237124578 0.022010191911525534 0.02602190176732083 0.030142036213813294 0.034750081318443024 0.03984603708121002 0.04505041743467418 0.050309010083486934 0.05594708879973978 0.06163937981134121 0.06738588311829123 0.07324081101593842 0.07914995120893419 0.08505909140192995 0.09096823159492573 0.09731107015071018 0.1037623332971918 0.11021359644367343 0.11666485959015505 0.12317033503198525 0.12994687195055837 0.1367776211644801 0.1436625826737504 0.1509270302504608 0.15829990241786837 0.16567277458527593 0.1730998590480321 0.18058115580613684 0.18806245256424156 0.19559796161769488 0.2031876829664968 0.21126531497343598 0.21977664534316382 0.22834218800824027 0.23701615526401387 0.2456901225197875 0.2543640897755611 0.2630922693266833 0.27192887346850264 0.28098232679171636 0.2900357801149301 0.29914344573349233 0.30825111135205463 0.3175214138566627 0.3269543532473165 0.33644150493331887 0.346091293505367 0.3559037189634609 0.3657703567169034 0.37585384365174024 0.3860999674726228 0.396400303588854 0.406971701181828 0.4175430987748021 0.42838555784451915 0.4394448660956305 0.4505583866420904 0.4618345440745961 0.4731649138024504 0.48460370812100184 0.49609671473490186 0.5080234197115906 0.5199501246882793 0.5322021034370595 0.5446167190718855 0.55708554700206 0.5696627995229318 0.5823484766345007 0.5951425783367668 0.6079908923343814 0.6208392063319961 0.6337417326249594 0.6470779572807113 0.6606852434132061 0.6750515016805811 0.6895261845386533 0.7041635042827713 0.7188008240268893 0.7334923560663559 0.7481838881058224 0.762875420145289 0.7784343489103329 0.7941559145614225 0.8099859048032094 0.8260327442263905 0.8424590697170118 0.8588853952076331 0.8756369944703458 0.8925512306191045 0.9096281036539087 0.927355524232896 0.9451913694025805 0.9630814268676136 0.9810799089233438 1.0 
April3Reg.txt
connections
n .00-34.90 34.90-69.80 69.80-104.70 104.70-139.60 139.60-174.50 174.50-209.40 209.40-244.30 244.30-279.20 279.20-314.10 314.10-349.00 349.00-383.90 
pdf 0.01 0.05 0.08 0.21 0.15000000000000002 0.14 0.13 0.09 0.07999999999999999 0.05 0.01 
cdf 0.01 0.060000000000000005 0.14 0.35 0.5 0.64 0.77 0.86 0.94 0.99 1.0 



    0	  125
    1	  128
    2	   60
    3	   26
    4	   17
    5	   20
    6	   11
    7	   12
    8	   11
    9	   11
   10	   16
   11	    8
   12	   11
   13	    9
   14	    6
   15	   12
   16	   11
   17	   10
   18	   16
   19	   14
   20	   14
   21	   10
   22	   13
   23	   15
   24	   12
   25	   17
   26	   17
   27	   14
   28	   19
   29	   28
   30	   12
   31	   23
   32	   19
   33	   28
   34	   16
   35	   14
   36	   24
   37	   14
   38	   17
   39	    9
   40	   16
   41	   12
   42	   14
   43	    8
   44	   15
   45	    3
   46	   13
   47	    8
   48	    9
   49	   11
   50	    6
   51	    6
   52	    6
   53	    0
   54	    4
